nearest_time,station_count,incident_freq,efficiency,expected_served
1093.5,0,0.0,0.018453659593487656,0.0
1042.7,0,0.0,0.018453659593487656,0.0
974.4,0,0.0,0.018453659593487656,0.0
899.3,0,0.0,0.018453659593487656,0.0
936.8,0,0.0,0.018453659593487656,0.0
901.2,0,0.0,0.018453659593487656,0.0
983.3,0,0.0,0.018453659593487656,0.0
1060.6,0,0.0,0.018453659593487656,0.0
1145.7,0,0.0,0.018453659593487656,0.0
1140.4,0,0.0,0.018453659593487656,0.0
794.6,0,0.0,0.018453659593487656,0.0
749.0,0,0.0,0.01762316398945737,0.0
682.0,1,0.0,0.014595373084873785,0.0
615.0,1,0.0,0.01648393356535704,0.0
527.9,1,0.0,0.018964725215443148,0.0
702.2,1,0.0,0.014595373084873785,0.0
636.8,1,0.0,0.014755512701934552,0.0
587.0,1,0.0,0.01658194093973821,0.0
631.5,2,0.0,0.015122141597511893,0.0
732.9,1,0.0,0.015602836577982861,0.0
732.9,1,0.0,0.015602836577982861,0.0
648.6,1,0.0,0.014616623813184551,0.0
525.5,2,0.0,0.018425310684234305,0.0
563.7,2,0.0,0.018148688018075457,0.0
518.2,2,0.0,0.018301731426623186,0.0
447.5,2,0.0,0.04633533163698652,0.0
491.0,3,0.0,0.07340291591310417,0.0
542.5,3,0.0,0.05649382199939236,0.0
608.3,2,0.0,0.018155853665680743,0.0
783.7,0,0.0,0.01915152494682099,0.0
704.3,2,0.0,0.01482790569520603,0.0
707.7,2,0.0,0.015084315951872696,0.0
602.6,3,0.0,0.05950778871782602,0.0
627.3,3,0.0,0.04953310439035163,0.0
746.5,0,0.0,0.01762316398945737,0.0
896.6,0,0.0,0.018453659593487656,0.0
611.7,1,0.0,0.016586135574459607,0.0
555.5,1,0.0,0.018700125048714537,0.0
611.1,1,0.0,0.016586135574459607,0.0
522.6,1,0.0,0.01862768817877648,0.0
541.5,1,0.0,0.018575961496685146,0.0
607.2,2,0.0,0.018155853665680743,0.0
612.0,2,0.0,0.01648918699901408,0.0
571.4,2,0.0,0.01779560686488198,0.0
574.0,2,0.0,0.017747887271328523,0.0
689.7,2,0.0,0.01482790569520603,0.0
606.2,2,0.0,0.01949844625827334,0.0
641.3,2,0.0,0.014849156423516797,0.0
543.5,3,0.0,0.05649382199939236,0.0
527.9,1,0.0,0.018964725215443148,0.0
679.9,1,0.0,0.014595373084873785,0.0
585.8,1,3.4165023898434215e-06,0.002645297536203682,9.037665354286795e-09
472.2,3,3.416502389843422e-05,0.009559478721248951,3.265998189680438e-07
513.4,1,1.3666009559373686e-05,0.0033965258197436758,4.6416954321276616e-08
611.1,2,0.0,0.01648918699901408,0.0
594.9,1,0.0,0.01670686304640488,0.0
507.9,1,0.0,0.020965466438480438,0.0
531.4,1,0.0,0.0186186762916261,0.0
376.6,2,0.0,0.2606897528993304,0.0
363.4,2,0.0,0.2043943581007648,0.0
357.5,2,0.0,0.1877473385263296,0.0
316.7,2,0.0,0.15762559666935735,0.0
346.5,1,0.0,0.16535514672884052,0.0
281.5,1,0.0,0.3816538630161178,0.0
303.2,1,0.0,0.23323125322122487,0.0
321.6,1,0.0,0.1395337379609769,0.0
997.8,0,0.0,0.018453659593487656,0.0
565.6,1,0.0,0.018549213659284303,0.0
311.0,1,0.0,0.17303593712749707,0.0
559.2,1,0.0,0.020516001086887482,0.0
480.9,1,0.0,0.03702979607878625,0.0
1133.8,0,0.0,0.018453659593487656,0.0
1004.7,0,0.0,0.018453659593487656,0.0
993.4,0,0.0,0.018453659593487656,0.0
933.7,0,0.0,0.018453659593487656,0.0
859.2,0,0.0,0.018453659593487656,0.0
909.7,0,0.0,0.018453659593487656,0.0
927.5,0,0.0,0.018453659593487656,0.0
1093.0,0,0.0,0.018453659593487656,0.0
1111.9,0,0.0,0.018453659593487656,0.0
1067.2,0,0.0,0.018453659593487656,0.0
795.9,0,0.0,0.018453659593487656,0.0
729.4,1,0.0,0.015602836577982861,0.0
876.3,0,0.0,0.018453659593487656,0.0
636.5,1,0.0,0.014755512701934552,0.0
626.8,1,0.0,0.01662316326137607,0.0
488.5,1,0.0,0.036711881076018964,0.0
534.6,1,0.0,0.018741956715292763,0.0
528.9,1,0.0,0.018964725215443148,0.0
574.9,1,0.0,0.017913037040294944,0.0
732.9,1,0.0,0.015602836577982861,0.0
681.0,1,0.0,0.014595373084873785,0.0
674.2,1,0.0,0.016207094699873782,0.0
685.2,1,0.0,0.014595373084873785,0.0
691.7,1,0.0,0.014595373084873785,0.0
768.1,0,0.0,0.01915152494682099,0.0
396.8,2,0.0,0.3130351414530102,0.0
461.4,2,0.0,0.04508088883551965,0.0
494.7,3,0.0,0.06699142335574772,0.0
546.4,3,0.0,0.058160488666059024,0.0
584.8,3,0.0,0.055936391133060884,0.0
591.2,3,0.0,0.05486009942135452,0.0
570.1,3,0.0,0.05590639491455562,0.0
600.8,3,0.0,0.05486009942135452,0.0
664.6,3,0.0,0.03953789699399542,0.0
561.9,3,0.0,0.05872278259237247,0.0
539.4,3,0.0,0.05649382199939236,0.0
619.7,3,0.0,0.06483763032205679,0.0
499.0,1,0.0,0.027967713034696296,0.0
469.9,3,0.0,0.07486239118116086,0.0
427.9,3,0.0,0.2228554402832149,0.0
516.6,2,0.0,0.018301731426623186,0.0
577.4,2,0.0,0.017747887271328523,0.0
573.1,2,0.0,0.01779560686488198,0.0
504.7,3,0.0,0.06096710495272928,0.0
530.4,2,0.0,0.018425310684234305,0.0
643.3,2,0.0,0.014849156423516797,0.0
607.5,2,0.0,0.018155853665680743,0.0
