iter,fitness,moved_station,old_cell,new_cell,layout,allowed_count
23,0.3976601721584212,8,812,6908,"[4005 3157 2471 3214 1255 7111 1976 2692 6908 6045 6688 2641  962 3518
  910 2649 1376 1299 2591 3643 3079 1544 4502 2214 1878 2655 3239 2234
 3991  592 3881 2247 1461 2112 3583 1749 2027 7330  691 2223]",1050
24,0.40109806069534465,23,2214,812,"[4005 3157 2471 3214 1255 7111 1976 2692 6908 6045 6688 2641  962 3518
  910 2649 1376 1299 2591 3643 3079 1544 4502  812 1878 2655 3239 2234
 3991  592 3881 2247 1461 2112 3583 1749 2027 7330  691 2223]",1055
25,0.4070577394659607,34,3583,3579,"[4005 3157 2471 3214 1255 7111 1976 2692 6908 6045 6688 2641  962 3518
  910 2649 1376 1299 2591 3643 3079 1544 4502  812 1878 2655 3239 2234
 3991  592 3881 2247 1461 2112 3579 1749 2027 7330  691 2223]",1020
26,0.408031831120456,28,3991,4133,"[4005 3157 2471 3214 1255 7111 1976 2692 6908 6045 6688 2641  962 3518
  910 2649 1376 1299 2591 3643 3079 1544 4502  812 1878 2655 3239 2234
 4133  592 3881 2247 1461 2112 3579 1749 2027 7330  691 2223]",1102
27,0.40952912020474874,39,2223,2149,"[4005 3157 2471 3214 1255 7111 1976 2692 6908 6045 6688 2641  962 3518
  910 2649 1376 1299 2591 3643 3079 1544 4502  812 1878 2655 3239 2234
 4133  592 3881 2247 1461 2112 3579 1749 2027 7330  691 2149]",1062
28,0.40885395164903393,33,2112,2182,"[4005 3157 2471 3214 1255 7111 1976 2692 6908 6045 6688 2641  962 3518
  910 2649 1376 1299 2591 3643 3079 1544 4502  812 1878 2655 3239 2234
 4133  592 3881 2247 1461 2182 3579 1749 2027 7330  691 2149]",1004
29,0.41037376812605425,14,910,1050,"[4005 3157 2471 3214 1255 7111 1976 2692 6908 6045 6688 2641  962 3518
 1050 2649 1376 1299 2591 3643 3079 1544 4502  812 1878 2655 3239 2234
 4133  592 3881 2247 1461 2182 3579 1749 2027 7330  691 2149]",1060
30,0.41111416008643076,15,2649,1927,"[4005 3157 2471 3214 1255 7111 1976 2692 6908 6045 6688 2641  962 3518
 1050 1927 1376 1299 2591 3643 3079 1544 4502  812 1878 2655 3239 2234
 4133  592 3881 2247 1461 2182 3579 1749 2027 7330  691 2149]",1028
31,0.4096730991117363,21,1544,1615,"[4005 3157 2471 3214 1255 7111 1976 2692 6908 6045 6688 2641  962 3518
 1050 1927 1376 1299 2591 3643 3079 1615 4502  812 1878 2655 3239 2234
 4133  592 3881 2247 1461 2182 3579 1749 2027 7330  691 2149]",997
32,0.40943559221453224,21,1615,1687,"[4005 3157 2471 3214 1255 7111 1976 2692 6908 6045 6688 2641  962 3518
 1050 1927 1376 1299 2591 3643 3079 1687 4502  812 1878 2655 3239 2234
 4133  592 3881 2247 1461 2182 3579 1749 2027 7330  691 2149]",997
33,0.4104169539084948,39,2149,2220,"[4005 3157 2471 3214 1255 7111 1976 2692 6908 6045 6688 2641  962 3518
 1050 1927 1376 1299 2591 3643 3079 1687 4502  812 1878 2655 3239 2234
 4133  592 3881 2247 1461 2182 3579 1749 2027 7330  691 2220]",1048
34,0.4109526930042948,33,2182,2112,"[4005 3157 2471 3214 1255 7111 1976 2692 6908 6045 6688 2641  962 3518
 1050 1927 1376 1299 2591 3643 3079 1687 4502  812 1878 2655 3239 2234
 4133  592 3881 2247 1461 2112 3579 1749 2027 7330  691 2220]",981
35,0.4100150993058539,32,1461,4082,"[4005 3157 2471 3214 1255 7111 1976 2692 6908 6045 6688 2641  962 3518
 1050 1927 1376 1299 2591 3643 3079 1687 4502  812 1878 2655 3239 2234
 4133  592 3881 2247 4082 2112 3579 1749 2027 7330  691 2220]",997
36,0.4094558119887108,13,3518,3590,"[4005 3157 2471 3214 1255 7111 1976 2692 6908 6045 6688 2641  962 3590
 1050 1927 1376 1299 2591 3643 3079 1687 4502  812 1878 2655 3239 2234
 4133  592 3881 2247 4082 2112 3579 1749 2027 7330  691 2220]",974
37,0.41315826788604704,27,2234,771,"[4005 3157 2471 3214 1255 7111 1976 2692 6908 6045 6688 2641  962 3590
 1050 1927 1376 1299 2591 3643 3079 1687 4502  812 1878 2655 3239  771
 4133  592 3881 2247 4082 2112 3579 1749 2027 7330  691 2220]",952
38,0.4069735402070975,33,2112,1389,"[4005 3157 2471 3214 1255 7111 1976 2692 6908 6045 6688 2641  962 3590
 1050 1927 1376 1299 2591 3643 3079 1687 4502  812 1878 2655 3239  771
 4133  592 3881 2247 4082 1389 3579 1749 2027 7330  691 2220]",911
39,0.4097972217767284,37,7330,2111,"[4005 3157 2471 3214 1255 7111 1976 2692 6908 6045 6688 2641  962 3590
 1050 1927 1376 1299 2591 3643 3079 1687 4502  812 1878 2655 3239  771
 4133  592 3881 2247 4082 1389 3579 1749 2027 2111  691 2220]",910
40,0.41244172885027147,24,1878,7330,"[4005 3157 2471 3214 1255 7111 1976 2692 6908 6045 6688 2641  962 3590
 1050 1927 1376 1299 2591 3643 3079 1687 4502  812 7330 2655 3239  771
 4133  592 3881 2247 4082 1389 3579 1749 2027 2111  691 2220]",963
41,0.41296689397133857,13,3590,3518,"[4005 3157 2471 3214 1255 7111 1976 2692 6908 6045 6688 2641  962 3518
 1050 1927 1376 1299 2591 3643 3079 1687 4502  812 7330 2655 3239  771
 4133  592 3881 2247 4082 1389 3579 1749 2027 2111  691 2220]",967
42,0.41281131876575483,19,3643,3784,"[4005 3157 2471 3214 1255 7111 1976 2692 6908 6045 6688 2641  962 3518
 1050 1927 1376 1299 2591 3784 3079 1687 4502  812 7330 2655 3239  771
 4133  592 3881 2247 4082 1389 3579 1749 2027 2111  691 2220]",974
43,0.4093580448178119,8,6908,6552,"[4005 3157 2471 3214 1255 7111 1976 2692 6552 6045 6688 2641  962 3518
 1050 1927 1376 1299 2591 3784 3079 1687 4502  812 7330 2655 3239  771
 4133  592 3881 2247 4082 1389 3579 1749 2027 2111  691 2220]",982
44,0.4110230653271073,21,1687,1544,"[4005 3157 2471 3214 1255 7111 1976 2692 6552 6045 6688 2641  962 3518
 1050 1927 1376 1299 2591 3784 3079 1544 4502  812 7330 2655 3239  771
 4133  592 3881 2247 4082 1389 3579 1749 2027 2111  691 2220]",938
