gen,dt_sec,best_fitness,offspring_count
1,21.02217197418213,0.3871928659419445,396
2,12.518899917602539,0.3881867509760561,396
3,11.343912839889526,0.3881867509760561,396
4,11.296621084213257,0.3913683254881842,396
5,9.785796165466309,0.392428324537689,396
6,8.676377773284912,0.392428324537689,396
7,8.691415071487427,0.39571456554675355,396
8,8.624697208404541,0.39571456554675355,396
9,10.973384857177734,0.3969182578714465,396
10,11.578068017959595,0.39712031940710685,396
11,9.792619943618774,0.3973782028203199,396
12,9.889579057693481,0.39888097809661355,396
13,12.16736102104187,0.40041941883894694,396
14,13.68419885635376,0.4011886020559611,396
15,12.087140083312988,0.4021079624532672,396
16,12.097604274749756,0.4027788298872944,396
17,14.213114738464355,0.4034179497947187,396
18,14.19068694114685,0.4048755197228863,396
19,12.272801160812378,0.4049273068118863,396
20,12.372483015060425,0.4049317730682603,396
21,12.141299962997437,0.40631952676738436,396
22,10.955122947692871,0.4068287753163052,396
23,10.165534019470215,0.40889803786507295,396
24,9.198975801467896,0.40889803786507295,396
25,8.145227193832397,0.40944446163680837,396
26,9.367603063583374,0.40990184070866653,396
27,11.038280963897705,0.4134164551795083,396
28,12.110744953155518,0.41491346776847904,396
29,12.556244850158691,0.4167839921897368,396
30,11.778470277786255,0.4167839921897368,396
31,11.636561870574951,0.4167839921897368,396
32,9.464047193527222,0.4175686675909509,396
33,7.053102731704712,0.4175686675909509,396
34,6.303615093231201,0.4175686675909509,396
35,6.741077899932861,0.4180176403973226,396
36,6.646013259887695,0.4181667008818278,396
37,6.996841907501221,0.4181667008818278,396
38,6.274087905883789,0.41823945299422727,396
39,5.132327079772949,0.41823945299422727,396
40,6.2273619174957275,0.41823945299422727,396
41,6.946501016616821,0.41823945299422727,396
42,6.155969858169556,0.41823945299422727,396
43,6.365929365158081,0.41823945299422727,396
44,6.578279733657837,0.42006010340616146,396
45,7.094887971878052,0.42006010340616146,396
46,6.963727235794067,0.42006010340616146,396
47,5.01864767074585,0.42006010340616146,396
48,6.039106130599976,0.42006010340616146,396
49,7.44394588470459,0.42074105856179167,396
50,7.689969301223755,0.42074105856179167,396
51,7.906503915786743,0.4211211175386448,396
52,8.035441875457764,0.4213526162762135,396
53,6.731183052062988,0.4214292335908427,396
54,5.793288946151733,0.4220407913052646,396
55,7.421891212463379,0.4220407913052646,396
56,6.8745808601379395,0.4224280370824699,396
57,6.154890060424805,0.42303959479689174,396
58,5.9663238525390625,0.42303959479689174,396
59,5.852387189865112,0.42303959479689174,396
60,6.559436798095703,0.42303959479689174,396
61,5.316411018371582,0.42303959479689174,396
62,4.911989212036133,0.42303959479689174,396
63,5.206589937210083,0.4234364138829355,396
64,6.117656946182251,0.4234364138829355,396
65,6.609127998352051,0.42416839241640447,396
66,6.084238052368164,0.42416839241640447,396
67,6.624395132064819,0.42492503248432667,396
68,6.586153984069824,0.42492503248432667,396
69,6.089901685714722,0.42560288341482866,396
70,7.394244194030762,0.42560288341482866,396
71,7.396923780441284,0.42560288341482866,396
72,6.073655128479004,0.42560288341482866,396
73,6.534420967102051,0.4258046752703577,396
74,6.016754150390625,0.42625040680120574,396
75,5.129206895828247,0.42625040680120574,396
76,5.4981160163879395,0.42625040680120574,396
77,6.245121955871582,0.4263534715101648,396
78,6.606472015380859,0.4263534715101648,396
79,6.814129114151001,0.4263534715101648,396
80,6.710880756378174,0.42681936900896633,396
81,6.4496660232543945,0.42681936900896633,396
82,6.066328048706055,0.42681936900896633,396
83,5.686095237731934,0.42681936900896633,396
84,6.029382944107056,0.4274410470043295,396
85,6.387174844741821,0.4274410470043295,396
86,7.134120225906372,0.4274410470043295,396
87,6.896177768707275,0.4274410470043295,396
88,6.736722946166992,0.4274410470043295,396
89,6.03214430809021,0.4274410470043295,396
90,5.796034812927246,0.4274410470043295,396
91,6.2741029262542725,0.4274410470043295,396
92,5.969221115112305,0.4274410470043295,396
93,6.383941888809204,0.4274410470043295,396
94,6.026144981384277,0.4274410470043295,396
95,6.161576986312866,0.4274410470043295,396
96,6.243530035018921,0.4274410470043295,396
97,6.031172037124634,0.4274410470043295,396
98,6.263998985290527,0.4274410470043295,396
99,5.940428018569946,0.4274410470043295,396
100,5.351770877838135,0.4274410470043295,396
101,5.830965995788574,0.4274410470043295,396
102,6.5148022174835205,0.4285999534541267,396
103,6.260040044784546,0.42955192737082293,396
104,7.041143894195557,0.42955192737082293,396
105,7.285907983779907,0.42955192737082293,396
106,6.0671210289001465,0.42955192737082293,396
107,5.186601877212524,0.42955192737082293,396
108,5.566028118133545,0.4299153431506353,396
109,5.886614084243774,0.4299153431506353,396
110,6.783502101898193,0.4299153431506353,396
111,7.687511682510376,0.4299153431506353,396
112,6.251556158065796,0.4299153431506353,396
113,5.4979939460754395,0.4307057185295644,396
114,5.783374071121216,0.4307057185295644,396
115,6.816656827926636,0.4307057185295644,396
116,7.132797002792358,0.4307057185295644,396
117,5.978027105331421,0.4307057185295644,396
118,6.1717448234558105,0.43104960757796706,396
119,6.0685341358184814,0.43104960757796706,396
120,6.010703086853027,0.43104960757796706,396
121,6.5232319831848145,0.43104960757796706,396
122,6.125949859619141,0.43104960757796706,396
123,5.443079948425293,0.43104960757796706,396
124,5.174546241760254,0.43104960757796706,396
125,6.072950124740601,0.43104960757796706,396
126,6.203153848648071,0.43104960757796706,396
127,5.67070198059082,0.43104960757796706,396
128,6.234479904174805,0.4315138792786113,396
129,5.519343137741089,0.4315138792786113,396
130,5.4773640632629395,0.4315138792786113,396
131,6.416208744049072,0.4315138792786113,396
132,5.554680109024048,0.4315138792786113,396
133,5.202799081802368,0.4315138792786113,396
134,5.6320037841796875,0.4315138792786113,396
135,5.027545213699341,0.4315138792786113,396
136,5.81620192527771,0.4315138792786113,396
137,6.507164001464844,0.4315138792786113,396
138,6.118920087814331,0.4315138792786113,396
139,5.793621778488159,0.4315138792786113,396
140,6.607827186584473,0.4324170631436588,396
141,6.867955923080444,0.4324170631436588,396
142,5.708209991455078,0.4324170631436588,396
143,6.424381971359253,0.4324170631436588,396
144,6.135627031326294,0.4324170631436588,396
145,5.709950923919678,0.43302310527274085,396
146,6.315100193023682,0.43302310527274085,396
147,5.818959951400757,0.43302310527274085,396
148,5.694156885147095,0.43302310527274085,396
149,5.235333204269409,0.43302310527274085,396
150,4.953040838241577,0.43302310527274085,396
151,5.566834926605225,0.43302310527274085,396
152,5.742131948471069,0.43302310527274085,396
153,5.711987257003784,0.43302310527274085,396
154,6.456131935119629,0.43337427398402756,396
155,6.01706600189209,0.43337427398402756,396
156,4.9579079151153564,0.43337427398402756,396
157,6.5810019969940186,0.43464336472869375,396
158,7.677373170852661,0.43464336472869375,396
159,6.54274582862854,0.43464336472869375,396
160,5.933336019515991,0.43464336472869375,396
161,5.4592390060424805,0.43464336472869375,396
162,5.432231187820435,0.43464336472869375,396
163,6.203506946563721,0.43464336472869375,396
164,6.057519912719727,0.43464336472869375,396
165,6.050123929977417,0.43464336472869375,396
166,6.212087154388428,0.43464336472869375,396
167,6.768854856491089,0.43464336472869375,396
168,6.758724927902222,0.43464336472869375,396
169,5.707000017166138,0.43464336472869375,396
170,6.25730299949646,0.43464336472869375,396
171,5.952881097793579,0.43464336472869375,396
172,3.7492949962615967,0.43464336472869375,396
173,3.916239023208618,0.43464336472869375,396
174,6.074326038360596,0.43464336472869375,396
175,6.5649988651275635,0.43464336472869375,396
176,5.73891806602478,0.43464336472869375,396
177,5.911890029907227,0.43464336472869375,396
178,6.459863185882568,0.43464336472869375,396
179,6.364694595336914,0.43464336472869375,396
180,5.79078221321106,0.43464336472869375,396
181,5.312992095947266,0.43464336472869375,396
182,5.85679292678833,0.43464336472869375,396
183,6.146990060806274,0.43464336472869375,396
184,6.283224105834961,0.43464336472869375,396
185,6.628688812255859,0.4348245880466355,396
186,6.050415992736816,0.43500342778713585,396
187,6.087954998016357,0.43589751332107585,396
188,6.2034220695495605,0.43589751332107585,396
189,5.718302965164185,0.43589751332107585,396
190,5.431884050369263,0.43589751332107585,396
191,5.155821084976196,0.43589751332107585,396
192,5.759208917617798,0.43589751332107585,396
193,5.779748916625977,0.43589751332107585,396
194,6.460227012634277,0.43589751332107585,396
195,6.929768800735474,0.43589751332107585,396
196,5.879134178161621,0.43589751332107585,396
197,4.960622072219849,0.43589751332107585,396
198,4.402894973754883,0.43589751332107585,396
199,4.293018817901611,0.43589751332107585,396
200,4.750268220901489,0.43589751332107585,396
201,5.594405889511108,0.43589751332107585,396
202,5.728164196014404,0.43589751332107585,396
203,5.482517957687378,0.43589751332107585,396
204,5.756078720092773,0.43589751332107585,396
205,5.720127105712891,0.43589751332107585,396
206,5.983950138092041,0.43589751332107585,396
207,5.885394811630249,0.43589751332107585,396
208,5.229449033737183,0.43589751332107585,396
209,5.313765048980713,0.43589751332107585,396
210,6.184947967529297,0.43589751332107585,396
211,5.847180128097534,0.43589751332107585,396
212,5.503264904022217,0.43624969315705364,396
213,6.415952920913696,0.43624969315705364,396
214,5.884938955307007,0.43624969315705364,396
215,5.317214012145996,0.43624969315705364,396
216,5.688667297363281,0.43624969315705364,396
217,6.01833176612854,0.43624969315705364,396
218,6.578439235687256,0.43624969315705364,396
219,6.939994812011719,0.43624969315705364,396
220,6.968944072723389,0.4371836306647171,396
221,6.6575939655303955,0.4371836306647171,396
222,6.829168796539307,0.4371836306647171,396
223,6.9328131675720215,0.4371836306647171,396
224,6.5133891105651855,0.4371836306647171,396
225,6.423095941543579,0.4371836306647171,396
226,5.931475877761841,0.4371836306647171,396
227,5.119011163711548,0.4371836306647171,396
228,5.4692699909210205,0.4371836306647171,396
229,6.2861998081207275,0.4371836306647171,396
230,6.091330051422119,0.4371836306647171,396
231,5.887326955795288,0.4371836306647171,396
232,6.003843069076538,0.4371836306647171,396
233,6.031048059463501,0.4371836306647171,396
234,6.018941879272461,0.4371836306647171,396
235,6.450216293334961,0.4371836306647171,396
236,6.17888879776001,0.4371836306647171,396
237,5.602344989776611,0.4371836306647171,396
238,5.641961097717285,0.4371836306647171,396
239,5.408286809921265,0.4371836306647171,396
240,5.024557113647461,0.4376377021340526,396
241,5.406149864196777,0.4376377021340526,396
242,5.998141288757324,0.4376377021340526,396
243,5.646201848983765,0.4376377021340526,396
244,5.761392116546631,0.4376377021340526,396
245,6.868591785430908,0.4377855690816406,396
246,7.35147500038147,0.4377855690816406,396
247,6.494626998901367,0.4377855690816406,396
248,6.302865266799927,0.4377855690816406,396
249,6.299684762954712,0.4377855690816406,396
250,6.332557201385498,0.4377855690816406,396
251,6.174138784408569,0.43784909539948824,396
252,5.520864009857178,0.43784909539948824,396
253,5.332409143447876,0.43784909539948824,396
254,5.67995285987854,0.43784909539948824,396
255,6.472127914428711,0.43784909539948824,396
256,6.188577175140381,0.43784909539948824,396
257,5.359079122543335,0.43784909539948824,396
258,5.943393707275391,0.43784909539948824,396
259,6.208407163619995,0.43784909539948824,396
260,5.773129940032959,0.43784909539948824,396
261,6.299508094787598,0.43784909539948824,396
262,5.86362886428833,0.43784909539948824,396
263,4.968713045120239,0.43784909539948824,396
264,5.81410813331604,0.43784909539948824,396
265,7.428686857223511,0.439178643759625,396
266,7.343982934951782,0.439178643759625,396
267,5.873963117599487,0.439178643759625,396
268,5.952282190322876,0.439178643759625,396
269,6.823148727416992,0.439178643759625,396
270,6.434499979019165,0.439178643759625,396
271,5.549605131149292,0.439178643759625,396
272,4.843570947647095,0.439178643759625,396
273,5.20703387260437,0.439178643759625,396
274,5.784564018249512,0.439178643759625,396
275,5.999966144561768,0.439178643759625,396
276,5.687680006027222,0.439178643759625,396
277,5.105427026748657,0.439178643759625,396
278,5.131673812866211,0.439178643759625,396
279,5.256653070449829,0.439178643759625,396
280,5.609308242797852,0.439178643759625,396
281,6.765035629272461,0.43946794633802366,396
282,7.023777008056641,0.43946794633802366,396
283,6.905362367630005,0.43946794633802366,396
284,7.400254964828491,0.43946794633802366,396
285,6.8189697265625,0.43946794633802366,396
286,5.9845051765441895,0.43946794633802366,396
287,6.172977924346924,0.43946794633802366,396
288,6.263652086257935,0.43946794633802366,396
289,5.641936779022217,0.43946794633802366,396
290,6.4884350299835205,0.43946794633802366,396
291,7.0187811851501465,0.43946794633802366,396
292,6.772453784942627,0.43946794633802366,396
293,5.89040207862854,0.4402597710970365,396
294,4.949522018432617,0.4402597710970365,396
