ID,Longitude,Latitude,PRL_Count,BRV_Count,BSV_Count
0,-1.9245749960613576,52.62310174143369,1,0,0
1,-1.8936463183492172,52.505248340824195,1,1,0
2,-1.7126079573133361,52.453947376129584,1,0,0
3,-1.8686325548381653,52.43022883867567,1,1,0
4,-2.0819311962122122,52.562164287043245,1,0,0
5,-1.4593791512957595,52.40499135322504,1,1,0
6,-2.003708164655641,52.61394698480234,1,0,0
7,-1.9254038809366643,52.44752101176602,1,0,0
8,-2.1212748920828237,52.48782896352074,1,1,0
9,-1.5526085215211467,52.3926955841604,1,0,0
10,-1.5158936866248665,52.41208663188864,2,0,0
11,-2.1058637716798727,52.521636913800066,1,1,0
12,-1.8352124081662704,52.5262179276767,1,0,0
13,-2.1036997481991504,52.603796938177105,1,1,0
14,-1.49326257158742,52.438216070829284,1,1,0
15,-2.0611054698718267,52.46949998813065,1,1,0
16,-1.9406706545070347,52.506683580413885,1,1,0
17,-1.8325012269074212,52.45997619401009,1,1,0
18,-1.8852256607147673,52.46310456856075,2,0,0
19,-1.9298984145180713,52.41518659876004,1,0,0
20,-1.9280600220427133,52.47899658947544,1,1,1
21,-1.9750246720660514,52.40754510657501,1,1,0
22,-2.0158336560106696,52.49344607228903,1,1,0
23,-1.8775186561818356,52.53550178221599,1,1,0
24,-1.7807134865332206,52.477179399468966,1,1,0
25,-1.9748432215917242,52.49481101930613,1,0,0
26,-1.790044097421873,52.41602817908916,1,1,1
27,-2.1431707266066655,52.455269716647834,1,0,0
28,-1.8232368179787162,52.56841708708622,1,0,0
29,-2.1724716913622286,52.59847557283388,1,0,0
30,-2.0531142266569566,52.53200183676455,1,0,0
31,-1.989786928633692,52.58781336336889,2,0,0
32,-1.8350500801701715,52.49473499935417,1,1,0
33,-2.0246600540655733,52.55255308413791,1,0,0
34,-1.9942819254604127,52.52419254658511,1,1,1
35,-2.0400938049879875,52.592274831016205,1,0,0
36,-2.1361234301188206,52.57952755980806,1,1,0
37,-1.9780786219783395,52.444989222873936,1,0,0
