Time_s,Best_fitness_incidents
44.40564298629761,0.32835524146953665
73.8163640499115,0.3389763251884349
103.27085185050964,0.3389763251884349
132.6447238922119,0.34552272878547785
161.37040162086487,0.36423433266507127
190.25979590415955,0.36423433266507127
218.6008038520813,0.36423433266507127
246.76592898368835,0.36423433266507127
275.4559428691864,0.36423433266507127
317.396577835083,0.3645163411160983
344.9689989089966,0.36725119095332487
372.35550594329834,0.36725119095332487
399.8246259689331,0.36725119095332487
427.23635482788086,0.36725119095332487
454.75091886520386,0.36725119095332487
482.3802239894867,0.36725119095332487
510.3985710144043,0.36725119095332487
537.7846467494965,0.36725119095332487
565.2210240364075,0.36725119095332487
606.5636358261108,0.3702607440622676
634.3171949386597,0.3702607440622676
662.4850668907166,0.3768966157037017
689.9041237831116,0.3768966157037017
717.371454000473,0.3768966157037017
744.7942998409271,0.3768966157037017
772.3295249938965,0.3768966157037017
799.7839376926422,0.3768966157037017
827.1901860237122,0.3768966157037017
854.6618959903717,0.3768966157037017
895.9716508388519,0.3768966157037017
923.4206290245056,0.3768966157037017
950.9026598930359,0.3768966157037017
978.378999710083,0.3768966157037017
1005.725644826889,0.3768966157037017
1033.1554908752441,0.3768966157037017
1060.6273539066315,0.3768966157037017
1088.1294338703156,0.3768966157037017
1115.6814677715302,0.3768966157037017
1143.1491568088531,0.3768966157037017
1184.1604788303375,0.37961858330197046
1211.675765991211,0.37961858330197046
1239.1656546592712,0.37961858330197046
1266.8468117713928,0.37961858330197046
1294.7969317436218,0.37961858330197046
1323.201605796814,0.37961858330197046
1351.2570099830627,0.37961858330197046
1379.2862038612366,0.37961858330197046
1407.2552556991577,0.37961858330197046
1434.7723257541656,0.37961858330197046
1476.7717559337616,0.37961858330197046
1505.3224439620972,0.37961858330197046
1532.9944739341736,0.37961858330197046
1561.629333972931,0.37961858330197046
1590.5952167510986,0.37961858330197046
1619.0970947742462,0.37961858330197046
1647.602885723114,0.37961858330197046
1675.865630865097,0.37961858330197046
1703.592119693756,0.37961858330197046
1731.9472818374634,0.37961858330197046
1773.9551718235016,0.37961858330197046
1801.6852688789368,0.37961858330197046
1829.285062789917,0.37961858330197046
1856.864403963089,0.3802785235310438
1884.48162484169,0.3802785235310438
1911.992553949356,0.3874882762519881
1939.5755467414856,0.3874882762519881
1967.6285798549652,0.3874882762519881
1995.6171519756317,0.3874882762519881
2023.3631067276,0.3874882762519881
2064.4768147468567,0.3874882762519881
2092.221186876297,0.3874882762519881
2119.89714884758,0.3874882762519881
2147.7558999061584,0.3874882762519881
2175.885735988617,0.3874882762519881
2204.103397846222,0.3874882762519881
2232.0514879226685,0.3874882762519881
2259.8718299865723,0.3874882762519881
2287.969512939453,0.3874882762519881
2315.3713898658752,0.3874882762519881
2356.964145898819,0.3874882762519881
2384.7241938114166,0.3874882762519881
2411.889127969742,0.3874882762519881
2439.0122797489166,0.3874882762519881
2466.175894021988,0.3874882762519881
2493.448664665222,0.3874882762519881
2520.7366709709167,0.3874882762519881
2547.8182168006897,0.3874882762519881
2575.026840686798,0.3874882762519881
2602.108913898468,0.3874882762519881
2642.958034992218,0.3874882762519881
3711.113046646118,0.3874882762519881
3811.432669878006,0.3874882762519881
