iter,fitness,moved_station,old_cell,new_cell,layout,allowed_count
20,0.39648904773973115,19,3576,3643,"[4005 3017 2471 3214 1255 7111 1976 2692  812 6045 6688 2641  962 3518
  910 2649 1376 1299 2591 3643 3079 1544 4502 2214 1878 2655 3239 2234
 3991  592 3881 2247 1461 2112 3583 1749 2027 7330  690 2223]",1029
21,0.39560693868430474,38,690,691,"[4005 3017 2471 3214 1255 7111 1976 2692  812 6045 6688 2641  962 3518
  910 2649 1376 1299 2591 3643 3079 1544 4502 2214 1878 2655 3239 2234
 3991  592 3881 2247 1461 2112 3583 1749 2027 7330  691 2223]",1062
22,0.39791929223301997,1,3017,3157,"[4005 3157 2471 3214 1255 7111 1976 2692  812 6045 6688 2641  962 3518
  910 2649 1376 1299 2591 3643 3079 1544 4502 2214 1878 2655 3239 2234
 3991  592 3881 2247 1461 2112 3583 1749 2027 7330  691 2223]",1021
23,0.3982538086168089,8,812,6908,"[4005 3157 2471 3214 1255 7111 1976 2692 6908 6045 6688 2641  962 3518
  910 2649 1376 1299 2591 3643 3079 1544 4502 2214 1878 2655 3239 2234
 3991  592 3881 2247 1461 2112 3583 1749 2027 7330  691 2223]",1050
24,0.40152540798935643,23,2214,812,"[4005 3157 2471 3214 1255 7111 1976 2692 6908 6045 6688 2641  962 3518
  910 2649 1376 1299 2591 3643 3079 1544 4502  812 1878 2655 3239 2234
 3991  592 3881 2247 1461 2112 3583 1749 2027 7330  691 2223]",1055
25,0.40752957664744893,34,3583,3579,"[4005 3157 2471 3214 1255 7111 1976 2692 6908 6045 6688 2641  962 3518
  910 2649 1376 1299 2591 3643 3079 1544 4502  812 1878 2655 3239 2234
 3991  592 3881 2247 1461 2112 3579 1749 2027 7330  691 2223]",1020
26,0.40849951474261403,28,3991,4133,"[4005 3157 2471 3214 1255 7111 1976 2692 6908 6045 6688 2641  962 3518
  910 2649 1376 1299 2591 3643 3079 1544 4502  812 1878 2655 3239 2234
 4133  592 3881 2247 1461 2112 3579 1749 2027 7330  691 2223]",1102
27,0.4100674237238411,39,2223,2149,"[4005 3157 2471 3214 1255 7111 1976 2692 6908 6045 6688 2641  962 3518
  910 2649 1376 1299 2591 3643 3079 1544 4502  812 1878 2655 3239 2234
 4133  592 3881 2247 1461 2112 3579 1749 2027 7330  691 2149]",1062
28,0.4093978563601509,33,2112,2182,"[4005 3157 2471 3214 1255 7111 1976 2692 6908 6045 6688 2641  962 3518
  910 2649 1376 1299 2591 3643 3079 1544 4502  812 1878 2655 3239 2234
 4133  592 3881 2247 1461 2182 3579 1749 2027 7330  691 2149]",1004
29,0.41090806381509837,14,910,1050,"[4005 3157 2471 3214 1255 7111 1976 2692 6908 6045 6688 2641  962 3518
 1050 2649 1376 1299 2591 3643 3079 1544 4502  812 1878 2655 3239 2234
 4133  592 3881 2247 1461 2182 3579 1749 2027 7330  691 2149]",1060
30,0.41178944761071173,15,2649,1927,"[4005 3157 2471 3214 1255 7111 1976 2692 6908 6045 6688 2641  962 3518
 1050 1927 1376 1299 2591 3643 3079 1544 4502  812 1878 2655 3239 2234
 4133  592 3881 2247 1461 2182 3579 1749 2027 7330  691 2149]",1028
31,0.4103588232693515,21,1544,1615,"[4005 3157 2471 3214 1255 7111 1976 2692 6908 6045 6688 2641  962 3518
 1050 1927 1376 1299 2591 3643 3079 1615 4502  812 1878 2655 3239 2234
 4133  592 3881 2247 1461 2182 3579 1749 2027 7330  691 2149]",997
32,0.410098512261637,21,1615,1687,"[4005 3157 2471 3214 1255 7111 1976 2692 6908 6045 6688 2641  962 3518
 1050 1927 1376 1299 2591 3643 3079 1687 4502  812 1878 2655 3239 2234
 4133  592 3881 2247 1461 2182 3579 1749 2027 7330  691 2149]",997
33,0.41100599905284424,39,2149,2220,"[4005 3157 2471 3214 1255 7111 1976 2692 6908 6045 6688 2641  962 3518
 1050 1927 1376 1299 2591 3643 3079 1687 4502  812 1878 2655 3239 2234
 4133  592 3881 2247 1461 2182 3579 1749 2027 7330  691 2220]",1048
34,0.41155581012532133,33,2182,2112,"[4005 3157 2471 3214 1255 7111 1976 2692 6908 6045 6688 2641  962 3518
 1050 1927 1376 1299 2591 3643 3079 1687 4502  812 1878 2655 3239 2234
 4133  592 3881 2247 1461 2112 3579 1749 2027 7330  691 2220]",981
35,0.4105879698088072,32,1461,4082,"[4005 3157 2471 3214 1255 7111 1976 2692 6908 6045 6688 2641  962 3518
 1050 1927 1376 1299 2591 3643 3079 1687 4502  812 1878 2655 3239 2234
 4133  592 3881 2247 4082 2112 3579 1749 2027 7330  691 2220]",997
36,0.4100202993008961,13,3518,3590,"[4005 3157 2471 3214 1255 7111 1976 2692 6908 6045 6688 2641  962 3590
 1050 1927 1376 1299 2591 3643 3079 1687 4502  812 1878 2655 3239 2234
 4133  592 3881 2247 4082 2112 3579 1749 2027 7330  691 2220]",974
37,0.4137763301826973,27,2234,771,"[4005 3157 2471 3214 1255 7111 1976 2692 6908 6045 6688 2641  962 3590
 1050 1927 1376 1299 2591 3643 3079 1687 4502  812 1878 2655 3239  771
 4133  592 3881 2247 4082 2112 3579 1749 2027 7330  691 2220]",952
38,0.4075009004576122,33,2112,1389,"[4005 3157 2471 3214 1255 7111 1976 2692 6908 6045 6688 2641  962 3590
 1050 1927 1376 1299 2591 3643 3079 1687 4502  812 1878 2655 3239  771
 4133  592 3881 2247 4082 1389 3579 1749 2027 7330  691 2220]",911
39,0.4103041852067331,37,7330,2111,"[4005 3157 2471 3214 1255 7111 1976 2692 6908 6045 6688 2641  962 3590
 1050 1927 1376 1299 2591 3643 3079 1687 4502  812 1878 2655 3239  771
 4133  592 3881 2247 4082 1389 3579 1749 2027 2111  691 2220]",910
40,0.4129747504203769,24,1878,7330,"[4005 3157 2471 3214 1255 7111 1976 2692 6908 6045 6688 2641  962 3590
 1050 1927 1376 1299 2591 3643 3079 1687 4502  812 7330 2655 3239  771
 4133  592 3881 2247 4082 1389 3579 1749 2027 2111  691 2220]",963
41,0.41354053341141495,13,3590,3518,"[4005 3157 2471 3214 1255 7111 1976 2692 6908 6045 6688 2641  962 3518
 1050 1927 1376 1299 2591 3643 3079 1687 4502  812 7330 2655 3239  771
 4133  592 3881 2247 4082 1389 3579 1749 2027 2111  691 2220]",967
42,0.41336180445330706,19,3643,3784,"[4005 3157 2471 3214 1255 7111 1976 2692 6908 6045 6688 2641  962 3518
 1050 1927 1376 1299 2591 3784 3079 1687 4502  812 7330 2655 3239  771
 4133  592 3881 2247 4082 1389 3579 1749 2027 2111  691 2220]",974
43,0.409907463617308,8,6908,6552,"[4005 3157 2471 3214 1255 7111 1976 2692 6552 6045 6688 2641  962 3518
 1050 1927 1376 1299 2591 3784 3079 1687 4502  812 7330 2655 3239  771
 4133  592 3881 2247 4082 1389 3579 1749 2027 2111  691 2220]",982
44,0.4115476774708786,21,1687,1544,"[4005 3157 2471 3214 1255 7111 1976 2692 6552 6045 6688 2641  962 3518
 1050 1927 1376 1299 2591 3784 3079 1544 4502  812 7330 2655 3239  771
 4133  592 3881 2247 4082 1389 3579 1749 2027 2111  691 2220]",938
45,0.4119173479532159,28,4133,6980,"[4005 3157 2471 3214 1255 7111 1976 2692 6552 6045 6688 2641  962 3518
 1050 1927 1376 1299 2591 3784 3079 1544 4502  812 7330 2655 3239  771
 6980  592 3881 2247 4082 1389 3579 1749 2027 2111  691 2220]",1004
46,0.4118048420497963,21,1544,1546,"[4005 3157 2471 3214 1255 7111 1976 2692 6552 6045 6688 2641  962 3518
 1050 1927 1376 1299 2591 3784 3079 1546 4502  812 7330 2655 3239  771
 6980  592 3881 2247 4082 1389 3579 1749 2027 2111  691 2220]",1004
47,0.4098581876583985,24,7330,4204,"[4005 3157 2471 3214 1255 7111 1976 2692 6552 6045 6688 2641  962 3518
 1050 1927 1376 1299 2591 3784 3079 1546 4502  812 4204 2655 3239  771
 6980  592 3881 2247 4082 1389 3579 1749 2027 2111  691 2220]",996
48,0.4093809827113272,37,2111,2182,"[4005 3157 2471 3214 1255 7111 1976 2692 6552 6045 6688 2641  962 3518
 1050 1927 1376 1299 2591 3784 3079 1546 4502  812 4204 2655 3239  771
 6980  592 3881 2247 4082 1389 3579 1749 2027 2182  691 2220]",916
49,0.40934278149979014,29,592,661,"[4005 3157 2471 3214 1255 7111 1976 2692 6552 6045 6688 2641  962 3518
 1050 1927 1376 1299 2591 3784 3079 1546 4502  812 4204 2655 3239  771
 6980  661 3881 2247 4082 1389 3579 1749 2027 2182  691 2220]",978
50,0.4096294030503111,30,3881,7330,"[4005 3157 2471 3214 1255 7111 1976 2692 6552 6045 6688 2641  962 3518
 1050 1927 1376 1299 2591 3784 3079 1546 4502  812 4204 2655 3239  771
 6980  661 7330 2247 4082 1389 3579 1749 2027 2182  691 2220]",993
51,0.41201215632441324,8,6552,3740,"[4005 3157 2471 3214 1255 7111 1976 2692 3740 6045 6688 2641  962 3518
 1050 1927 1376 1299 2591 3784 3079 1546 4502  812 4204 2655 3239  771
 6980  661 7330 2247 4082 1389 3579 1749 2027 2182  691 2220]",1019
52,0.41141800817514296,6,1976,2048,"[4005 3157 2471 3214 1255 7111 2048 2692 3740 6045 6688 2641  962 3518
 1050 1927 1376 1299 2591 3784 3079 1546 4502  812 4204 2655 3239  771
 6980  661 7330 2247 4082 1389 3579 1749 2027 2182  691 2220]",974
