iter,fitness,moved_station,old_cell,new_cell
162,0.34796888616584165,33,1300,2157
163,0.34801675556461426,13,1390,3674
164,0.34916800812262805,21,4409,6399
165,0.34109828814692567,30,7258,2602
166,0.33950007778583563,24,1451,1728
167,0.3371607620053995,37,2864,3641
168,0.3257018072181962,17,3290,4480
169,0.3293872285556555,10,972,1391
170,0.3240179811381918,18,2237,1665
171,0.3202563290502609,39,3309,3872
172,0.32079023297231973,29,7110,973
173,0.32234001479413504,35,958,3362
174,0.32391436462297113,2,4781,1305
175,0.3261240033862509,7,4281,2694
176,0.3276624695444667,32,4049,1787
177,0.3178884290549107,36,3083,2097
178,0.3225585482197342,36,2097,2867
179,0.30629796753806754,23,3795,1369
180,0.30830640915461477,6,1830,410
181,0.30866454045099306,28,2436,2222
182,0.3120009511256504,2,1305,1171
183,0.31563182142977425,17,4480,4141
184,0.3244919560713232,23,1369,3306
185,0.32390561236966575,33,2157,3526
186,0.32418049759261947,12,2109,7040
187,0.31497654792977786,31,1541,1306
188,0.3148173981606986,34,4133,1972
189,0.31213266538754686,35,3362,2333
190,0.32056151405476474,9,2174,3363
191,0.31435736574643114,37,3641,1539
192,0.32670258863874857,16,3247,2376
193,0.3314106163512098,37,1539,1752
194,0.3292339880647813,20,6907,6908
195,0.3291703807060107,4,810,6618
196,0.33156163957691237,2,1171,815
197,0.3307097169573129,33,3526,4847
198,0.3337568055789812,33,4847,7401
199,0.3332168409888345,12,7040,4133
200,0.33855960764721976,32,1787,3642
201,0.34268307099313666,24,1728,1885
202,0.34687585970902207,31,1306,3369
203,0.3436736091170941,12,4133,5475
204,0.3338381970509025,20,6908,3244
205,0.3302369429462952,31,3369,4060
206,0.32184606104967384,15,2804,2790
207,0.3289389610880252,2,815,2945
208,0.3279587774027047,5,804,1242
209,0.3240290262912168,24,1885,1796
210,0.31587088377736655,9,3363,2099
211,0.3104808133461352,29,973,1372
212,0.3102042354733573,13,3674,3675
213,0.3141286412187557,9,2099,7051
214,0.31444920373859075,11,6049,6048
215,0.31418189257371354,34,1972,1900
216,0.32567297467416945,19,3631,3291
217,0.33264155390260514,38,318,3439
218,0.33003891975489175,33,7401,4407
219,0.32666283662157625,22,4289,3739
220,0.3240699634692803,21,6399,916
221,0.3303304162357149,7,2694,811
222,0.3329907297083474,29,1372,4294
223,0.33740775533326517,20,3244,831
224,0.33723375131050326,34,1900,3138
225,0.33578776946084327,25,333,4231
226,0.3368997428713188,3,2641,522
227,0.33914300391363894,20,831,1043
228,0.3381908588947212,37,1752,7329
229,0.3440902435820684,6,410,2174
230,0.34221778871595115,32,3642,3714
231,0.34420179547808943,39,3872,7037
232,0.34818890028707633,31,4060,1542
233,0.3425836928020988,28,2222,486
234,0.3422071527956291,23,3306,3238
235,0.34415456238632763,6,2174,2253
236,0.34614333580597556,6,2253,2254
237,0.3386415094773486,19,3291,2367
238,0.34035545025947517,18,1665,3704
239,0.34332422217635306,36,2867,2172
240,0.3528262354926461,31,1542,2938
241,0.3511749244501437,5,1242,622
242,0.3458645320678588,37,7329,1227
243,0.354173015639885,28,486,3517
244,0.34854223530258777,3,522,1685
245,0.3441448902889839,36,2172,2641
246,0.35067159052041463,30,2602,1737
247,0.35157615674930504,29,4294,4290
248,0.3528228632246594,35,2333,1313
249,0.34522137056109786,31,2938,2028
250,0.3430824693151038,14,2212,802
251,0.3399500865950833,38,3439,7044
252,0.33907533244553045,5,622,2867
253,0.33661753997104127,29,4290,3940
254,0.3425948526457006,15,2790,3292
255,0.34837899132715067,37,1227,4219
256,0.33889167620433563,37,4219,2455
257,0.33991985799600005,5,2867,6612
258,0.3416534868297487,15,3292,3439
259,0.34210426384631243,33,4407,545
260,0.3409754514654727,38,7044,4505
261,0.3423612973047486,35,1313,1161
262,0.3567089132931118,25,4231,3010
263,0.3551994564783923,1,1406,248
264,0.35173444751323424,27,981,1964
265,0.35011704414828504,28,3517,1195
266,0.3514819439969177,33,545,2213
267,0.35477660614985385,12,5475,1171
268,0.35487045363373626,17,4141,7256
269,0.35206132417914104,29,3940,484
270,0.35198881598307175,31,2028,6625
271,0.3522192974655456,1,248,2550
272,0.3549839320322626,35,1161,4145
273,0.35384563243302125,1,2550,6252
274,0.3572591461047051,4,6618,3873
275,0.3524835737673387,5,6612,406
276,0.36114909405069223,26,1907,6688
277,0.3625643542283923,34,3138,1835
278,0.36340031529723293,1,6252,1307
279,0.36051914808565566,34,1835,1885
280,0.35838154954904633,31,6625,4640
281,0.3552756828497118,11,6048,382
282,0.3392372167398849,26,6688,248
283,0.3274887067862845,6,2254,4234
284,0.3190245891496097,2,2945,6334
285,0.31280219932723496,38,4505,4509
286,0.30133135481376133,9,7051,1802
287,0.305670863907759,26,248,6910
288,0.3053037278816642,32,3714,3785
289,0.30229852839457955,33,2213,4210
290,0.30095433360515733,27,1964,1691
291,0.30077943190696693,18,3704,2104
292,0.3076006006511391,8,2684,2946
293,0.31754107869353804,21,916,3217
294,0.3151050028420375,29,484,5125
295,0.31024878360966235,17,7256,4409
296,0.32345740576128473,6,4234,2117
297,0.3253033589524629,0,822,5834
298,0.32327762643867564,10,1391,7401
299,0.32514623706963863,29,5125,630
300,0.3250614760174776,24,1796,3034
301,0.3353891088779004,0,5834,6759
302,0.3370596501150076,1,1307,3137
303,0.3280768225489843,16,2376,893
304,0.32144173891783556,6,2117,1534
305,0.3141046491580174,15,3439,2352
306,0.31773685016953124,39,7037,3654
307,0.32588064043108744,10,7401,2516
308,0.3211033218857378,25,3010,1929
309,0.3315070455011779,9,1802,2189
310,0.3428746568593025,37,2455,3152
311,0.3379789946492284,21,3217,3708
312,0.3424796519405381,27,1691,7330
313,0.33243239526609325,6,1534,2526
314,0.33350187299902373,5,406,1691
315,0.336916597776849,36,2641,618
316,0.33944325982252976,18,2104,1391
317,0.3266472758786038,37,3152,2290
318,0.32314533837858916,11,382,2815
319,0.33405143908176926,31,4640,3148
320,0.3457226562992139,24,3034,2181
321,0.35028530351805953,6,2526,1442
322,0.3510276421350634,16,893,2831
323,0.3413549995473027,24,2181,319
324,0.345479867347451,12,1171,2112
325,0.3532767158362595,19,2367,1172
326,0.3484961205265696,18,1391,2579
327,0.34576089541205346,14,802,3107
328,0.34320067210279287,22,3739,2715
329,0.3420011642327186,23,3238,1464
330,0.33961925548994165,26,6910,5474
331,0.34259726338479535,13,3675,3237
332,0.3451223011884375,21,3708,3886
333,0.3444095395435475,21,3886,3667
334,0.3454251916617814,14,3107,4713
335,0.3482790287750901,22,2715,7052
336,0.34534799435019825,35,4145,2696
337,0.35110260421424394,29,630,4219
338,0.35057426073471687,20,1043,1041
339,0.346248962106541,20,1041,2034
340,0.3492746482195738,33,4210,590
341,0.34928631342404015,2,6334,6259
342,0.34676199229363747,2,6259,557
343,0.3480616936608511,3,1685,1942
344,0.34950792054213536,11,2815,1237
345,0.3452632003980739,29,4219,5905
346,0.3328032432418381,12,2112,384
347,0.33168349780266615,17,4409,5626
348,0.3393751412590068,33,590,2182
349,0.33403605701894823,28,1195,3559
350,0.3443200434045964,6,1442,907
351,0.34477511991475196,20,2034,7110
352,0.34494261002012666,14,4713,6626
353,0.3502856880822198,17,5626,1543
354,0.35276842261178687,30,1737,4133
355,0.352121917313834,5,1691,1962
356,0.35418326512366255,28,3559,3704
357,0.3478303757854738,13,3237,1370
358,0.3428384109803864,0,6759,3378
359,0.3424572814649675,18,2579,1408
360,0.3459285263180697,6,907,6548
361,0.33581465869654104,36,618,2595
362,0.3334116947699617,39,3654,4144
363,0.3297631365710359,32,3785,752
364,0.33445083495831707,39,4144,3367
365,0.33572728252912476,33,2182,621
366,0.33699112904557654,15,2352,4004
367,0.33625325727832456,1,3137,2710
368,0.3312871337397516,17,1543,1186
369,0.3353415139571633,12,384,4503
370,0.33407469647126936,7,811,454
371,0.33715528748602036,25,1929,1970
372,0.3297320334163781,9,2189,2509
373,0.32183790755055086,39,3367,2956
374,0.31972055859121506,23,1464,947
375,0.3187535334169368,10,2516,3653
376,0.3166557889840764,9,2509,2720
377,0.3195496653966981,22,7052,2869
378,0.3109862335597082,25,1970,3176
379,0.32172329329059945,24,319,2041
380,0.3266842311090725,2,557,2303
381,0.32936396662640754,35,2696,3783
382,0.3380029569998861,13,1370,1976
383,0.33880698101117995,21,3667,3954
384,0.33876871828941146,30,4133,1929
385,0.34203759868440947,17,1186,1544
386,0.3466370195355183,36,2595,4204
387,0.35065398462465674,15,4004,1538
388,0.348079262220997,13,1976,2334
389,0.3477411663959725,20,7110,1906
390,0.3465877997275225,4,3873,7052
391,0.3487488776817145,25,3176,984
392,0.3475421540626651,25,984,1877
393,0.34275778466827955,12,4503,377
394,0.34121214924975213,7,454,7037
395,0.3379133236207495,27,7330,1178
396,0.33625116691762125,17,1544,3946
397,0.3339897809701252,22,2869,1113
398,0.32914815089915916,0,3378,4145
399,0.3299326683024162,21,3954,7401
400,0.33570996091397926,25,1877,3379
401,0.33801608257547844,35,3783,3784
402,0.3406802131034227,19,1172,4573
403,0.33960517838295756,20,1906,6328
404,0.33986339176788716,28,3704,3635
405,0.3420907861067858,18,1408,668
406,0.34316848094375246,34,1885,2869
407,0.34646064688226447,32,752,1814
408,0.3442894865850332,17,3946,3105
409,0.3512158957614188,16,2831,6972
410,0.3591130581762048,38,4509,1193
411,0.35560468466747097,32,1814,3747
412,0.354847404109194,29,5905,1737
413,0.3527223247631387,0,4145,485
414,0.3499152413785648,4,7052,4081
415,0.3496598981873622,38,1193,7051
416,0.34657308691736805,19,4573,1906
417,0.34345538724552566,13,2334,2027
418,0.34695376776806747,39,2956,4144
419,0.340675898550418,25,3379,3142
420,0.3441285804937204,3,1942,3731
421,0.34633266834877585,10,3653,3721
422,0.34492502188903945,36,4204,615
423,0.33844692033413504,2,2303,844
424,0.3411167616242452,14,6626,1121
425,0.34381656696996443,37,2290,3308
426,0.34076604997059723,27,1178,3740
427,0.33985614334244174,0,485,2741
428,0.33625738442478426,34,2869,3296
429,0.3361054118317294,15,1538,1459
430,0.33619769253810405,1,2710,2545
431,0.3329929346861582,9,2720,200
432,0.3321660948404509,34,3296,2451
433,0.3203068942419598,10,3721,748
434,0.31465438207454616,27,3740,2536
435,0.3270403065139868,27,2536,3509
436,0.3244279219591202,35,3784,2227
437,0.3198458898464267,16,6972,2572
438,0.31887577243923515,34,2451,4508
439,0.3262237808720695,36,615,3643
440,0.3329646425587729,11,1237,2447
441,0.329911894662066,4,4081,4704
442,0.3309614073270409,10,748,1033
443,0.3223755438215605,27,3509,2652
444,0.3261158035797552,3,3731,3883
445,0.33062510456034894,16,2572,6974
446,0.3343735864874599,32,3747,2363
447,0.32921630636325305,31,3148,1541
448,0.3356755789178336,16,6974,3581
449,0.33649580001668006,7,7037,4134
450,0.33404869557551475,39,4144,4013
451,0.34059418602381997,2,844,6974
452,0.356209160035468,15,1459,3078
453,0.35987677566922305,13,2027,1956
454,0.36236834870269646,5,1962,770
455,0.36009576314996733,14,1121,321
456,0.3544314616580968,8,2946,2710
457,0.35146061747748947,38,7051,2105
458,0.3553031309749056,25,3142,2944
459,0.3632686371407615,35,2227,4502
460,0.3632465358267947,38,2105,2693
461,0.36553218220873807,39,4013,6897
462,0.3527314948579314,11,2447,1512
463,0.348364382002509,22,1113,5700
464,0.3386511563381641,13,1956,2227
465,0.34479442987990194,39,6897,2516
466,0.34081165821628273,29,1737,2788
467,0.33901214221128384,1,2545,1479
468,0.3445323350953107,11,1512,1737
469,0.3437119787621742,7,4134,5906
470,0.3441941542144763,6,6548,1746
471,0.34603095526329497,2,6974,6829
472,0.3466297928829465,22,5700,4336
473,0.34940763719965756,25,2944,3014
474,0.35216043057978325,17,3105,7324
475,0.34868826002333725,23,947,4157
476,0.3520507995419898,26,5474,6693
477,0.35330393228774193,10,1033,1038
478,0.34321108632960595,31,1541,2166
479,0.34758444638661457,12,377,2401
480,0.3477115138139475,4,4704,4844
481,0.3508471725816741,31,2166,1401
482,0.35330469001604825,20,6328,590
483,0.3520532633298736,37,3308,1097
484,0.35160238900018687,38,2693,1019
485,0.3358253342295638,2,6829,1443
486,0.34550125505131635,9,200,3375
487,0.3348428395727743,10,1038,2096
488,0.33496263968792567,20,590,748
489,0.3375797774671476,34,4508,2691
490,0.3421170225991609,4,4844,825
491,0.33750528187636186,35,4502,2320
492,0.34180078754417714,27,2652,3284
493,0.3413997109008243,19,1906,4068
494,0.3274431828295781,15,3078,193
495,0.32831421131466104,11,1737,6468
496,0.3239918590457898,4,825,270
497,0.3243325988338929,4,270,3174
498,0.32287868273886833,20,748,1734
499,0.3126889033453075,16,3581,4275
500,0.3081909425396506,17,7324,4849
501,0.311463341968769,21,7401,3150
502,0.31471208277950957,10,2096,1907
503,0.3165174067212989,36,3643,4501
504,0.31554254915363084,19,4068,1740
505,0.3245180921627434,29,2788,7258
506,0.32676207069580254,13,2227,818
507,0.33450167593499247,19,1740,3866
508,0.3338859514212176,18,668,670
509,0.33452409995300636,24,2041,1040
510,0.33784200800047026,1,1479,7052
511,0.3317178376446245,3,3883,1870
512,0.3345381253657647,0,2741,520
513,0.3306015306599337,6,1746,3524
514,0.336254175097587,4,3174,1824
515,0.34041341453137436,3,1870,3098
516,0.3402191942753038,22,4336,5263
517,0.33460673491430437,19,3866,4140
518,0.342483240490672,0,520,3650
519,0.33901458577381893,18,670,3951
520,0.33729787685266466,6,3524,5056
521,0.34083706749138004,11,6468,6825
522,0.34243356964629373,10,1907,1889
523,0.3418998392854117,38,1019,7250
524,0.3447652797800457,24,1040,1323
525,0.33761650914574504,29,7258,1480
526,0.33116183090133094,32,2363,3674
527,0.329221664815237,4,1824,972
528,0.32650744482270583,24,1323,1969
529,0.32002009588588964,25,3014,592
530,0.3137372186856805,12,2401,824
531,0.31671273407606026,29,1480,670
532,0.32018836307910664,13,818,1622
533,0.3210832917343047,26,6693,3643
534,0.3188100043241794,29,670,4076
535,0.32081971191740954,33,621,6762
536,0.3210829557744508,12,824,2472
537,0.31978820848198164,9,3375,1248
538,0.3195967098779649,5,770,3090
539,0.3248157213247132,2,1443,2291
540,0.3287226629409382,6,5056,7471
541,0.32280872325008647,10,1889,484
542,0.3204893493633643,0,3650,6402
543,0.3261709859925306,23,4157,1051
544,0.3238231702606473,23,1051,3940
545,0.31676326566399216,3,3098,2580
546,0.31361273592551847,35,2320,2716
547,0.3125008897805031,7,5906,819
548,0.3112194350866126,10,484,2537
549,0.31270478264441487,5,3090,3165
550,0.32087903425240516,11,6825,3579
551,0.32577814224771,7,819,2171
552,0.3302513891305545,0,6402,1050
553,0.31991834930221497,33,6762,1870
554,0.3220680520087479,34,2691,5977
555,0.31935890603322714,7,2171,2175
556,0.31908693407698707,22,5263,5481
557,0.32140056057330074,21,3150,3083
558,0.3379737468124357,29,4076,6616
559,0.34329386554470814,28,3635,2047
560,0.34115899842389985,39,2516,2586
561,0.3370464897526453,37,1097,3313
562,0.3324076931444932,0,1050,1743
563,0.3423178939041001,17,4849,694
564,0.33987207753863724,16,4275,4366
565,0.3426368357660593,26,3643,3148
566,0.3494072332984846,15,193,815
567,0.35089059120211075,14,321,1090
568,0.34895690848451644,38,7250,1242
569,0.3485353380479543,36,4501,7038
570,0.34437995179488023,34,5977,2161
571,0.347040383931704,13,1622,4431
572,0.34844506482739657,18,3951,6048
573,0.3420674546749024,25,592,2744
574,0.33771008016410986,15,815,3714
575,0.33087049915876965,26,3148,3879
576,0.32406412253211225,29,6616,3219
577,0.3296494151568796,17,694,6689
578,0.3249704077863998,4,972,3775
579,0.33085160378203793,34,2161,455
580,0.3317442605809192,31,1401,747
581,0.3176060838821494,17,6689,338
582,0.32133183530189885,29,3219,6903
583,0.3128529740682042,39,2586,2593
584,0.31226303260077515,15,3714,4134
585,0.32617278179995357,25,2744,1116
586,0.3291529281054361,15,4134,2658
587,0.3338206122863293,22,5481,1610
588,0.33424877677494946,23,3940,3573
589,0.3318766948691063,23,3573,2694
590,0.3366742435720028,37,3313,910
591,0.3407291268109938,13,4431,3219
592,0.3374363706429637,15,2658,1406
593,0.3303950980941129,13,3219,4075
594,0.32504937375697385,6,7471,2743
595,0.3263105725571124,0,1743,2094
596,0.3236089011739336,38,1242,754
597,0.32022726123418,18,6048,6469
598,0.32008742555179764,30,1929,2211
599,0.31843676974289065,19,4140,1744
600,0.31967578768619,8,2710,3800
601,0.32575986692109743,2,2291,2515
602,0.32783823836892434,18,6469,591
603,0.3293612511491406,0,2094,7400
604,0.32832490526133595,19,1744,4409
605,0.3268395432370637,26,3879,1670
606,0.3284028023367155,19,4409,2710
607,0.32468271770879553,5,3165,4782
608,0.31519842665836306,11,3579,6117
609,0.3187009256631608,30,2211,6544
610,0.3183071475087055,36,7038,7180
611,0.3173564621119344,14,1090,1160
612,0.32173780703110694,38,754,1856
613,0.3274593160733098,37,910,3378
614,0.32520509004857057,12,2472,824
615,0.3314750361324027,32,3674,3649
616,0.33390834311920015,33,1870,3089
617,0.3337139807719718,20,1734,1731
618,0.33818666941618436,6,2743,1097
619,0.33942284604614514,4,3775,3670
620,0.3377209487629325,34,455,3846
621,0.33210467799287946,29,6903,2155
622,0.3311116072735441,11,6117,2545
623,0.32916686912103926,4,3670,4408
624,0.31784164084581173,30,6544,2148
625,0.32016049280557735,24,1969,909
626,0.32460110104668405,37,3378,6758
627,0.3271518745057657,29,2155,2884
628,0.33098983040182967,4,4408,6048
629,0.33088343113250435,24,909,3077
630,0.33457567887355316,7,2175,2173
631,0.3303353458287425,7,2173,3745
632,0.3278278970050594,9,1248,4136
633,0.33165512378502326,22,1610,1677
634,0.3306932626136136,34,3846,2167
635,0.32208489594584716,28,2047,1685
636,0.32663888375025946,9,4136,910
637,0.32600084380248195,1,7052,6695
638,0.31331194132311446,37,6758,6539
639,0.31094555591910106,13,4075,3711
640,0.31302571131302276,20,1731,3452
641,0.3193791153056391,15,1406,2116
642,0.31625858246654304,21,3083,1406
643,0.32948640050747335,14,1160,6901
644,0.32638091483441767,5,4782,2389
645,0.32287957896712105,33,3089,1376
646,0.331516105673305,38,1856,3229
647,0.31941985492832425,38,3229,2017
648,0.31604078413986225,8,3800,403
649,0.31144958302417686,15,2116,4570
650,0.31849972059787923,4,6048,2943
651,0.32610512451528806,36,7180,3517
652,0.327097517703813,24,3077,3008
653,0.33089126856940915,21,1406,1764
654,0.327995028624787,21,1764,7252
655,0.33221125081220193,5,2389,4146
656,0.33284019966377315,32,3649,3435
657,0.33504267060150345,33,1376,6117
658,0.33379457871100615,6,1097,1451
659,0.323807127670805,22,1677,1621
660,0.31827920253004216,2,2515,3940
661,0.32375823383478447,26,1670,2515
662,0.3161698309560009,24,3008,3554
663,0.31666769663267647,33,6117,6048
664,0.3143743298539686,8,403,1724
665,0.310229497791609,11,2545,247
666,0.30617124952028385,25,1116,7122
667,0.3142342899227785,11,247,688
668,0.3215106515421779,11,688,1677
669,0.324074423848677,31,747,811
670,0.3295091759474358,5,4146,2330
671,0.3280207824879966,19,2710,4207
672,0.33414591949121764,15,4570,1259
673,0.3305402344602468,16,4366,2389
674,0.33176584375824036,29,2884,3948
675,0.32614560330178666,26,2515,2710
676,0.3235890382315809,23,2694,4707
677,0.320247482132509,21,7252,1159
678,0.32285050858223185,13,3711,4001
679,0.3252728069267541,39,2593,403
680,0.31986183049688954,33,6048,2812
681,0.311775417750764,11,1677,4431
682,0.31321820266367817,35,2716,7252
683,0.3123305318771013,18,591,2664
684,0.3222685638787696,21,1159,1321
685,0.3130214698833578,14,6901,1888
686,0.312317871485159,37,6539,6197
687,0.3043900859754065,15,1259,3105
688,0.31126059850791976,16,2389,6046
689,0.32563555457999727,23,4707,6758
690,0.32883228186127106,20,3452,1258
691,0.3276218929623468,7,3745,1303
692,0.32725173648182754,25,7122,2109
693,0.32840535684754885,18,2664,592
694,0.3335385260536965,17,338,551
695,0.33338895452213657,12,824,3381
696,0.3320692959922671,26,2710,2924
697,0.33235787021581853,12,3381,1999
698,0.3343673507104049,0,7400,1101
699,0.34364773200122495,6,1451,7189
700,0.34044650680329985,31,811,953
701,0.33132099887856276,36,3517,899
702,0.3318246927167589,26,2924,2639
703,0.32868723761040447,30,2148,2593
704,0.3298871922249642,5,2330,3446
705,0.33946634070979476,36,899,2046
706,0.3306476218512908,36,2046,2688
707,0.31968631508427625,21,1321,4708
708,0.3272129726180456,28,1685,2445
709,0.33424421306708074,29,3948,3008
710,0.33436494021703167,10,2537,1596
711,0.3368663079839206,28,2445,2121
712,0.3376612991283211,39,403,3667
713,0.3427937173142096,21,4708,1462
714,0.3325030701664649,0,1101,4301
715,0.33365537566702597,38,2017,2019
716,0.33368108574837624,24,3554,4698
717,0.3435491463997262,33,2812,1101
718,0.34412055691723653,34,2167,2741
719,0.3345211383838308,28,2121,2537
720,0.3404240038287076,19,4207,2120
721,0.3355088042311365,32,3435,4275
722,0.3304771497201946,9,910,4268
723,0.3278170484212578,12,1999,5403
724,0.318932906152182,33,1101,3504
725,0.3158691880825506,39,3667,3535
726,0.31891707013999837,30,2593,2149
727,0.3184701417631579,25,2109,1031
728,0.32158640143100614,18,592,2516
729,0.3170707835165226,25,1031,876
730,0.3105950636041531,11,4431,2313
731,0.307582658424127,14,1888,960
732,0.30798793630869603,16,6046,4436
733,0.31601470202772364,11,2313,981
734,0.31648019288664,34,2741,306
735,0.3118989010953522,1,6695,3875
736,0.31152654039138505,13,4001,4358
737,0.31488655756268247,9,4268,3812
738,0.31487699703746785,5,3446,1684
739,0.30015253960158694,4,2943,7053
740,0.30870629420531986,15,3105,2029
741,0.3241232579948567,37,6197,3017
742,0.32629017574364033,6,7189,3510
743,0.3268183850834302,35,7252,7401
744,0.3153119958044218,37,3017,544
745,0.31252615465502487,37,544,4707
746,0.30339525022808206,5,1684,2084
747,0.2987014902923294,19,2120,3240
