nearest_time,station_count,incident_freq,efficiency,expected_served
1213.7,0,0.0,0.018453659593487656,0.0
1162.9,0,0.0,0.018453659593487656,0.0
1094.6,0,0.0,0.018453659593487656,0.0
1019.5,0,0.0,0.018453659593487656,0.0
1057.0,0,0.0,0.018453659593487656,0.0
1021.4,0,0.0,0.018453659593487656,0.0
1103.5,0,0.0,0.018453659593487656,0.0
1180.8,0,0.0,0.018453659593487656,0.0
1265.9,0,0.0,0.018453659593487656,0.0
1260.6,0,0.0,0.018453659593487656,0.0
914.8,0,0.0,0.018453659593487656,0.0
869.2,0,0.0,0.018453659593487656,0.0
821.0,0,0.0,0.018453659593487656,0.0
754.0,0,0.0,0.017146973512790705,0.0
666.9,2,0.0,0.014849156423516797,0.0
841.2,0,0.0,0.018453659593487656,0.0
775.8,0,0.0,0.01915152494682099,0.0
692.8,1,0.0,0.014595373084873785,0.0
579.9,1,0.0,0.018413037040294945,0.0
681.3,1,0.0,0.014595373084873785,0.0
681.3,1,0.0,0.014595373084873785,0.0
597.0,1,0.0,0.01670686304640488,0.0
473.9,2,0.0,0.0379841548022333,0.0
512.1,1,0.0,0.01995791807330779,0.0
466.6,2,0.0,0.03775828662860021,0.0
395.9,2,0.0,0.3110345602122113,0.0
439.4,2,0.0,0.04571520316119385,0.0
467.7,2,0.0,0.03775828662860021,0.0
533.5,2,0.0,0.017853335835750585,0.0
661.4,1,0.0,0.014616623813184551,0.0
511.2,2,0.0,0.019418503542098946,0.0
514.6,2,0.0,0.018301731426623186,0.0
409.5,2,0.0,0.28621755185269443,0.0
434.2,2,0.0,0.1219459920459958,0.0
676.3,2,0.0,0.01643962731020603,0.0
703.5,1,0.0,0.014595373084873785,0.0
564.3,3,0.0,0.05646707416199152,0.0
609.0,3,0.0,0.05642445538449269,0.0
734.0,2,0.0,0.01583536918831511,0.0
645.5,3,0.0,0.04120456366066209,0.0
664.4,2,0.0,0.014849156423516797,0.0
730.1,2,0.0,0.01583536918831511,0.0
736.1,1,0.0,0.015602836577982861,0.0
695.5,1,0.0,0.014595373084873785,0.0
698.1,1,0.0,0.014595373084873785,0.0
827.1,0,0.0,0.018453659593487656,0.0
746.0,0,0.0,0.01762316398945737,0.0
781.1,0,0.0,0.01915152494682099,0.0
683.3,1,0.0,0.014595373084873785,0.0
667.7,1,0.0,0.014616623813184551,0.0
804.6,0,0.0,0.018453659593487656,0.0
710.5,1,3.4165023898434215e-06,0.0018087184082583615,6.179490764368482e-09
587.8,1,3.416502389843422e-05,0.0034656660476043545,1.1840456334039484e-07
629.0,1,1.3666009559373686e-05,0.003192087713052685,4.362310120093728e-08
835.8,0,0.0,0.018453659593487656,0.0
819.6,0,0.0,0.018453659593487656,0.0
732.6,1,0.0,0.015602836577982861,0.0
756.1,0,0.0,0.018292913074720533,0.0
601.3,1,0.0,0.0196391888919701,0.0
590.7,1,0.0,0.01670686304640488,0.0
664.5,1,0.0,0.014616623813184551,0.0
705.7,1,0.0,0.014851783341540453,0.0
792.7,0,0.0,0.01915152494682099,0.0
800.9,0,0.0,0.018453659593487656,0.0
837.9,0,0.0,0.018453659593487656,0.0
847.6,0,0.0,0.018453659593487656,0.0
1236.3,0,0.0,0.018453659593487656,0.0
660.7,1,0.0,0.014616623813184551,0.0
837.0,0,0.0,0.018453659593487656,0.0
1085.2,0,0.0,0.018453659593487656,0.0
1006.9,0,0.0,0.018453659593487656,0.0
1254.0,0,0.0,0.018453659593487656,0.0
1124.9,0,0.0,0.018453659593487656,0.0
