iter,fitness,moved_station,old_cell,new_cell,layout,allowed_count
23,0.40190590438490315,24,1786,2649,"[2759 3085 4781 3212 1326 7184 1976 4436  812 6046 6756 2247  962 3590
  840 6907 1376 1299 2591 3573 3079 2853 2655 2214 2649 3166 4076 2160
 3991  521 3811 6406 1461 2254 3652 1749 2027 1549  690 2223]",868
24,0.40254314836619,26,4076,4147,"[2759 3085 4781 3212 1326 7184 1976 4436  812 6046 6756 2247  962 3590
  840 6907 1376 1299 2591 3573 3079 2853 2655 2214 2649 3166 4147 2160
 3991  521 3811 6406 1461 2254 3652 1749 2027 1549  690 2223]",888
25,0.4011743552332163,12,962,1172,"[2759 3085 4781 3212 1326 7184 1976 4436  812 6046 6756 2247 1172 3590
  840 6907 1376 1299 2591 3573 3079 2853 2655 2214 2649 3166 4147 2160
 3991  521 3811 6406 1461 2254 3652 1749 2027 1549  690 2223]",911
26,0.40288841793084246,5,7184,7329,"[2759 3085 4781 3212 1326 7329 1976 4436  812 6046 6756 2247 1172 3590
  840 6907 1376 1299 2591 3573 3079 2853 2655 2214 2649 3166 4147 2160
 3991  521 3811 6406 1461 2254 3652 1749 2027 1549  690 2223]",920
27,0.4023044045264585,30,3811,3671,"[2759 3085 4781 3212 1326 7329 1976 4436  812 6046 6756 2247 1172 3590
  840 6907 1376 1299 2591 3573 3079 2853 2655 2214 2649 3166 4147 2160
 3991  521 3671 6406 1461 2254 3652 1749 2027 1549  690 2223]",965
28,0.40250487110991084,27,2160,7251,"[2759 3085 4781 3212 1326 7329 1976 4436  812 6046 6756 2247 1172 3590
  840 6907 1376 1299 2591 3573 3079 2853 2655 2214 2649 3166 4147 7251
 3991  521 3671 6406 1461 2254 3652 1749 2027 1549  690 2223]",911
29,0.40253896911891107,39,2223,2154,"[2759 3085 4781 3212 1326 7329 1976 4436  812 6046 6756 2247 1172 3590
  840 6907 1376 1299 2591 3573 3079 2853 2655 2214 2649 3166 4147 7251
 3991  521 3671 6406 1461 2254 3652 1749 2027 1549  690 2154]",945
30,0.40067497944702984,7,4436,4013,"[2759 3085 4781 3212 1326 7329 1976 4013  812 6046 6756 2247 1172 3590
  840 6907 1376 1299 2591 3573 3079 2853 2655 2214 2649 3166 4147 7251
 3991  521 3671 6406 1461 2254 3652 1749 2027 1549  690 2154]",916
31,0.4029786252469466,14,840,1050,"[2759 3085 4781 3212 1326 7329 1976 4013  812 6046 6756 2247 1172 3590
 1050 6907 1376 1299 2591 3573 3079 2853 2655 2214 2649 3166 4147 7251
 3991  521 3671 6406 1461 2254 3652 1749 2027 1549  690 2154]",948
32,0.40228799420587785,5,7329,7330,"[2759 3085 4781 3212 1326 7330 1976 4013  812 6046 6756 2247 1172 3590
 1050 6907 1376 1299 2591 3573 3079 2853 2655 2214 2649 3166 4147 7251
 3991  521 3671 6406 1461 2254 3652 1749 2027 1549  690 2154]",932
33,0.4027329192340908,29,521,592,"[2759 3085 4781 3212 1326 7330 1976 4013  812 6046 6756 2247 1172 3590
 1050 6907 1376 1299 2591 3573 3079 2853 2655 2214 2649 3166 4147 7251
 3991  592 3671 6406 1461 2254 3652 1749 2027 1549  690 2154]",977
34,0.40269199771907055,29,592,733,"[2759 3085 4781 3212 1326 7330 1976 4013  812 6046 6756 2247 1172 3590
 1050 6907 1376 1299 2591 3573 3079 2853 2655 2214 2649 3166 4147 7251
 3991  733 3671 6406 1461 2254 3652 1749 2027 1549  690 2154]",977
35,0.401543736998853,14,1050,767,"[2759 3085 4781 3212 1326 7330 1976 4013  812 6046 6756 2247 1172 3590
  767 6907 1376 1299 2591 3573 3079 2853 2655 2214 2649 3166 4147 7251
 3991  733 3671 6406 1461 2254 3652 1749 2027 1549  690 2154]",953
36,0.40229598190301963,16,1376,1734,"[2759 3085 4781 3212 1326 7330 1976 4013  812 6046 6756 2247 1172 3590
  767 6907 1734 1299 2591 3573 3079 2853 2655 2214 2649 3166 4147 7251
 3991  733 3671 6406 1461 2254 3652 1749 2027 1549  690 2154]",931
37,0.40022072916877566,13,3590,3587,"[2759 3085 4781 3212 1326 7330 1976 4013  812 6046 6756 2247 1172 3587
  767 6907 1734 1299 2591 3573 3079 2853 2655 2214 2649 3166 4147 7251
 3991  733 3671 6406 1461 2254 3652 1749 2027 1549  690 2154]",885
38,0.40022589659228724,26,4147,4148,"[2759 3085 4781 3212 1326 7330 1976 4013  812 6046 6756 2247 1172 3587
  767 6907 1734 1299 2591 3573 3079 2853 2655 2214 2649 3166 4148 7251
 3991  733 3671 6406 1461 2254 3652 1749 2027 1549  690 2154]",930
39,0.4008432717043676,3,3212,3284,"[2759 3085 4781 3284 1326 7330 1976 4013  812 6046 6756 2247 1172 3587
  767 6907 1734 1299 2591 3573 3079 2853 2655 2214 2649 3166 4148 7251
 3991  733 3671 6406 1461 2254 3652 1749 2027 1549  690 2154]",913
40,0.401056036951491,18,2591,2661,"[2759 3085 4781 3284 1326 7330 1976 4013  812 6046 6756 2247 1172 3587
  767 6907 1734 1299 2661 3573 3079 2853 2655 2214 2649 3166 4148 7251
 3991  733 3671 6406 1461 2254 3652 1749 2027 1549  690 2154]",923
41,0.3999367230575469,38,690,619,"[2759 3085 4781 3284 1326 7330 1976 4013  812 6046 6756 2247 1172 3587
  767 6907 1734 1299 2661 3573 3079 2853 2655 2214 2649 3166 4148 7251
 3991  733 3671 6406 1461 2254 3652 1749 2027 1549  619 2154]",944
42,0.40152564913762556,13,3587,3592,"[2759 3085 4781 3284 1326 7330 1976 4013  812 6046 6756 2247 1172 3592
  767 6907 1734 1299 2661 3573 3079 2853 2655 2214 2649 3166 4148 7251
 3991  733 3671 6406 1461 2254 3652 1749 2027 1549  619 2154]",890
43,0.40255136069588504,23,2214,2285,"[2759 3085 4781 3284 1326 7330 1976 4013  812 6046 6756 2247 1172 3592
  767 6907 1734 1299 2661 3573 3079 2853 2655 2285 2649 3166 4148 7251
 3991  733 3671 6406 1461 2254 3652 1749 2027 1549  619 2154]",949
44,0.40429767420468365,6,1976,2118,"[2759 3085 4781 3284 1326 7330 2118 4013  812 6046 6756 2247 1172 3592
  767 6907 1734 1299 2661 3573 3079 2853 2655 2285 2649 3166 4148 7251
 3991  733 3671 6406 1461 2254 3652 1749 2027 1549  619 2154]",911
45,0.40415390825510894,18,2661,2591,"[2759 3085 4781 3284 1326 7330 2118 4013  812 6046 6756 2247 1172 3592
  767 6907 1734 1299 2591 3573 3079 2853 2655 2285 2649 3166 4148 7251
 3991  733 3671 6406 1461 2254 3652 1749 2027 1549  619 2154]",907
46,0.40378178404985193,18,2591,2520,"[2759 3085 4781 3284 1326 7330 2118 4013  812 6046 6756 2247 1172 3592
  767 6907 1734 1299 2520 3573 3079 2853 2655 2285 2649 3166 4148 7251
 3991  733 3671 6406 1461 2254 3652 1749 2027 1549  619 2154]",907
